brand_prefix,part_code,oem_number,source_name,source_url,retrieved_at,brand,model,year_from,year_to,engine,restyle,vin_pattern
AC,ABD,78510-0B6-768,emex,https://emex.ru/products/78510-0B6-768,2026-05-09T07:04:03Z,Acura,,,,,,
AC,ABD,78510-34D-308,emex,https://emex.ru/products/78510-34D-308,2026-05-09T07:03:09Z,Acura,,,,,,
AC,ABD,78510-6ED-283,emex,https://emex.ru/products/78510-6ED-283,2026-05-09T07:03:35Z,Acura,,,,,,
AC,ABP,78120-051-696,emex,https://emex.ru/products/78120-051-696,2026-05-09T07:05:29Z,Acura,,,,,,
AC,ABP,78120-9DF-279,emex,https://emex.ru/products/78120-9DF-279,2026-05-09T07:04:31Z,Acura,,,,,,
AC,ABP,78120-F72-272,emex,https://emex.ru/products/78120-F72-272,2026-05-09T07:05:00Z,Acura,,,,,,
AC,ABS,57455-TK4-A01,exist,https://www.exist.ru/Price/?pcode=57455-TK4-A01,2026-05-11T07:38:24Z,Acura,,,,,,
AC,ABS,57455-TZ3-A01,emex,https://emex.ru/products/57455-TZ3-A01,2026-05-11T07:39:10Z,Acura,,,,,,
AC,ABU,57110S9AA02,emex,https://emex.ru/products/57110S9AA02/Honda,2026-05-11T07:40:04Z,Acura,,,,,,
AC,ABU,57110STXA02,emex,https://emex.ru/products/57110STXA02/Honda,2026-05-11T07:40:50Z,Acura,,,,,,
AC,ACC,38810-TK4-A01,emex,https://emex.ru/products/38810-TK4-A01,2026-05-11T07:41:45Z,Acura,,,,,,
AC,ACC,38810-TZ3-A01,emex,https://emex.ru/products/38810-TZ3-A01,2026-05-11T07:42:54Z,Acura,,,,,,
AC,ACD,80100S9AA00,emex,https://emex.ru/products/80100S9AA00,2026-05-11T07:43:39Z,Acura,,,,,,
AC,ACD,80100STXA00,emex,https://emex.ru/products/80100STXA00,2026-05-11T07:44:31Z,Acura,,,,,,
AC,ACE,80210S9AA11,emex,https://emex.ru/products/80210S9AA11,2026-05-11T07:45:26Z,Acura,,,,,,
AC,ACE,80210STXA11,emex,https://emex.ru/products/80210STXA11,2026-05-11T07:46:12Z,Acura,,,,,,
AC,AF,17220-5LA-A10,emex,https://emex.ru/products/17220-5LA-A10,2026-05-11T07:47:05Z,Acura,,,,,,
AC,AF,17220-PNA-A00,emex,https://emex.ru/products/17220-PNA-A00/Honda,2026-05-11T07:47:56Z,Acura,,,,,,
AC,AF,17220-RYE-A00,exist,https://www.exist.ru/Price/?pcode=17220-RYE-A00,2026-05-11T07:48:46Z,Acura,,,,,,
AC,AFL,44306-616-932,emex,https://emex.ru/products/44306-616-932,2026-05-09T05:55:13Z,Acura,,,,,,
AC,AFL,44306-8B4-437,emex,https://emex.ru/products/44306-8B4-437,2026-05-09T05:54:42Z,Acura,,,,,,
AC,AFL,44306-CA8-912,emex,https://emex.ru/products/44306-CA8-912,2026-05-09T05:54:13Z,Acura,,,,,,
AC,AFR,44305-4C1-282,emex,https://emex.ru/products/44305-4C1-282,2026-05-09T05:56:43Z,Acura,,,,,,
AC,AFR,44305-981-479,emex,https://emex.ru/products/44305-981-479,2026-05-09T05:56:13Z,Acura,,,,,,
AC,AFR,44305-99A-129,emex,https://emex.ru/products/44305-99A-129,2026-05-09T05:55:42Z,Acura,,,,,,
