brand_prefix,part_code,oem_number,source_name,source_url,retrieved_at,brand,model,year_from,year_to,engine,restyle,vin_pattern
AC,CKP,8-97104-309-0,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~sensor~crankshaft~position~8-97104-309-0.html,2026-05-16T13:00:36Z,Acura,SLX,1996,1997,"KA 4AT, KL 4AT",,
AC,CKP,8-97136-125-1,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~sensor~crankshaft~position~8-97136-125-1.html,2026-05-16T13:00:38Z,Acura,SLX,1998,1999,"KA 4AT, KL 4AT",,
AC,CMP,8-10456-148-0,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~sensor~camshaft~position~8-10456-148-0.html,2026-05-16T13:00:36Z,Acura,SLX,1996,1997,"KA 4AT, KL 4AT",,
AC,CMP,8-10456-541-0,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~sensor~camshaft~position~8-10456-541-0.html,2026-05-16T13:00:39Z,Acura,SLX,1998,1999,"KA 4AT, KL 4AT",,
AC,CMP,8-10456-598-0,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~sensor~camshaft~position~8-10456-598-0.html,2026-05-16T13:00:40Z,Acura,,,,,,
AC,ODP,8-97020-858-0,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~plug~oil~drain~8-97020-858-0.html,2026-05-16T13:00:39Z,Acura,,,,,,
AC,ODP,8-97365-374-0,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~plug~oil~drain~8-97365-374-0.html,2026-05-16T13:00:37Z,Acura,SLX,1996,1999,"KA 4AT, KL 4AT",,
AC,ODP,9-09662-004-0,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~plug~oil~drain~9-09662-004-0.html,2026-05-16T13:00:41Z,Acura,SLX,1996,1999,"KA 4AT, KL 4AT",,
AC,OPS,28600-PRP-013RB,AcuraPartsWarehouse,https://www.acurapartswarehouse.com/oem/acura~oil~pressure~switch~28600-prp-013rb.html,2026-05-16T13:00:38Z,Acura,,,,,,
BM,MAF,11721438814,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-mass_air_flow_sensor-11721438814.html,2026-05-16T13:00:03Z,BMW,325Ci; 325i; 325xi; 330Ci,2001,2010,,,
BM,MAF,13621311950,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-mass_air_flow_sensor-13621311950.html,2026-05-16T12:59:54Z,BMW,M5,1991,1993,,,
BM,MAF,13621315541,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-mass_air_flow_sensor-13621315541.html,2026-05-16T12:59:52Z,BMW,,,,,,
BM,MAF,13621316166,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-mass_air_flow_sensor-13621316166.html,2026-05-16T12:59:56Z,BMW,850CSi,1994,1995,,,
BM,MAF,13621718521,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-mass_air_flow_sensor-13621718521.html,2026-05-16T12:59:55Z,BMW,,,,,,
BM,MAF,13621730033,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-mass_air_flow_sensor-13621730033.html,2026-05-16T12:59:49Z,BMW,320i,1993,1995,,,
BM,MAF,13621730074,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-mass_air_flow_sensor-13621730074.html,2026-05-16T12:59:50Z,BMW,525i; 525iT,1991,1995,,,
BM,MAF,13621733678,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-mass_air_flow_sensor-13621733678.html,2026-05-16T12:59:51Z,BMW,750iL; 850Ci; 850i,1988,1994,,,
BM,MAF,13621736178,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-mass_air_flow_sensor-13621736178.html,2026-05-16T12:59:54Z,BMW,,,,,,
BM,MAF,13621747156,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-mass_air_flow_sensor-13621747156.html,2026-05-16T12:59:57Z,BMW,,,,,,
BM,MAF,13622246084,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-mass_air_flow_sensor-13622246084.html,2026-05-16T12:59:58Z,BMW,,,,,,
BM,MAF,13627547976,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-exchange_mass_air_flow_sensor-13627547976.html,2026-05-16T12:59:53Z,BMW,,,,,,
BM,MAF,13627547977,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-exchange_mass_air_flow_sensor-13627547977.html,2026-05-16T12:59:59Z,BMW,325i; 325is; 325ix; 525i,1987,1992,,,
BM,MAF,13627547978,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-exchange_mass_air_flow_sensor-13627547978.html,2026-05-16T13:00:00Z,BMW,325e; 528e,1982,1988,,,
BM,MAF,13627547979,BMWPartsDeal,https://www.bmwpartsdeal.com/parts/bmw-exchange_mass_air_flow_sensor_without_co_poti-13627547979.html,2026-05-16T13:00:01Z,BMW,318i; 318is,1991,1992,,,
