brand_prefix,model,year_from,year_to,engine,source_name,source_url,retrieved_at
BM,3 Series,2012,2018,N20,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501746Z
BM,3 Series,2012,2018,N26,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501778Z
BM,3 Series,2012,2018,M235i,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501788Z
BM,3 Series,2019,2025,B48,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501794Z
BM,3 Series,2019,2025,B48A,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501799Z
BM,5 Series,2010,2016,N52,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501804Z
BM,5 Series,2010,2016,N55,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501808Z
BM,5 Series,2017,2023,B58,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501813Z
BM,7 Series,2009,2015,N52,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501818Z
BM,7 Series,2009,2015,N55,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501822Z
BM,7 Series,2009,2015,N63,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501826Z
BM,7 Series,2016,2025,B58,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501831Z
BM,7 Series,2016,2025,N63TT,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501835Z
BM,X3,2011,2017,N20,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501840Z
BM,X3,2011,2017,N26,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501844Z
BM,X3,2011,2017,N55,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501854Z
BM,X3,2018,2025,B48,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501858Z
BM,X3,2018,2025,B58,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501863Z
BM,X5,2007,2013,N55,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501867Z
BM,X5,2007,2013,N63,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501872Z
BM,X5,2014,2025,B58,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501876Z
BM,X5,2014,2025,N63TT,epc_BM,https://epc-BM.example.com,2026-05-16T12:18:42.501880Z
TY,Camry,2012,2017,2AR-FE,epc_TY,https://epc-TY.example.com,2026-05-16T12:18:42.501914Z
TY,Camry,2012,2017,2GR-FE,epc_TY,https://epc-TY.example.com,2026-05-16T12:18:42.501919Z
TY,Camry,2018,2025,A25A-FKS,epc_TY,https://epc-TY.example.com,2026-05-16T12:18:42.501924Z
TY,Camry,2018,2025,8AR-FTS,epc_TY,https://epc-TY.example.com,2026-05-16T12:18:42.501928Z
TY,Corolla,2014,2019,1ZR-FE,epc_TY,https://epc-TY.example.com,2026-05-16T12:18:42.501933Z
TY,Corolla,2014,2019,2ZR-FAE,epc_TY,https://epc-TY.example.com,2026-05-16T12:18:42.501937Z
TY,Corolla,2020,2025,1ZR-FE,epc_TY,https://epc-TY.example.com,2026-05-16T12:18:42.501941Z
TY,Corolla,2020,2025,2ZR-FAE,epc_TY,https://epc-TY.example.com,2026-05-16T12:18:42.501946Z
TY,RAV4,2013,2018,2AR-FE,epc_TY,https://epc-TY.example.com,2026-05-16T12:18:42.501950Z
TY,RAV4,2013,2018,2GR-FE,epc_TY,https://epc-TY.example.com,2026-05-16T12:18:42.501954Z
TY,RAV4,2019,2025,A25A-FKS,epc_TY,https://epc-TY.example.com,2026-05-16T12:18:42.501958Z
TY,RAV4,2019,2025,8AR-FTS,epc_TY,https://epc-TY.example.com,2026-05-16T12:18:42.501963Z
TY,Highlander,2014,2019,2GR-FE,epc_TY,https://epc-TY.example.com,2026-05-16T12:18:42.501967Z
TY,Highlander,2014,2019,2GR-FKS,epc_TY,https://epc-TY.example.com,2026-05-16T12:18:42.501974Z
TY,Highlander,2020,2025,A25A-FKS,epc_TY,https://epc-TY.example.com,2026-05-16T12:18:42.501979Z
LX,ES,2013,2021,2AR-FSE,epc_LX,https://epc-LX.example.com,2026-05-16T12:18:42.502005Z
LX,ES,2013,2021,8AR-FSE,epc_LX,https://epc-LX.example.com,2026-05-16T12:18:42.502010Z
LX,ES,2022,2025,A25A-FXS,epc_LX,https://epc-LX.example.com,2026-05-16T12:18:42.502014Z
LX,RX,2016,2023,8AR-FTS,epc_LX,https://epc-LX.example.com,2026-05-16T12:18:42.502018Z
LX,RX,2016,2023,2GR-FE,epc_LX,https://epc-LX.example.com,2026-05-16T12:18:42.502023Z
LX,RX,2024,2025,T24A-FTS,epc_LX,https://epc-LX.example.com,2026-05-16T12:18:42.502027Z
LX,GX,2010,2021,3GR-FSE,epc_LX,https://epc-LX.example.com,2026-05-16T12:18:42.502031Z
LX,GX,2022,2025,3GR-FSE,epc_LX,https://epc-LX.example.com,2026-05-16T12:18:42.502036Z
LX,GX,2022,2025,TT V35A,epc_LX,https://epc-LX.example.com,2026-05-16T12:18:42.502040Z
LX,NX,2015,2021,8AR-FTS,epc_LX,https://epc-LX.example.com,2026-05-16T12:18:42.502044Z
LX,NX,2015,2021,2AR-FSE,epc_LX,https://epc-LX.example.com,2026-05-16T12:18:42.502051Z
LX,NX,2022,2025,M20A-FKS,epc_LX,https://epc-LX.example.com,2026-05-16T12:18:42.502056Z
HY,Elantra,2011,2016,1.6L,epc_HY,https://epc-HY.example.com,2026-05-16T12:18:42.502079Z
HY,Elantra,2011,2016,2.0L,epc_HY,https://epc-HY.example.com,2026-05-16T12:18:42.502083Z
HY,Elantra,2017,2025,1.6L Turbo,epc_HY,https://epc-HY.example.com,2026-05-16T12:18:42.502088Z
HY,Elantra,2017,2025,2.0L,epc_HY,https://epc-HY.example.com,2026-05-16T12:18:42.502092Z
HY,Tucson,2016,2020,1.6L Turbo,epc_HY,https://epc-HY.example.com,2026-05-16T12:18:42.502096Z
HY,Tucson,2016,2020,2.0L,epc_HY,https://epc-HY.example.com,2026-05-16T12:18:42.502104Z
HY,Tucson,2021,2025,1.6L Turbo,epc_HY,https://epc-HY.example.com,2026-05-16T12:18:42.502108Z
