brand_prefix,model,year_from,year_to,engine,source_name,source_url,retrieved_at
BM,3 Series,2012,2018,N20,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010610Z
BM,3 Series,2012,2018,N26,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010624Z
BM,3 Series,2012,2018,M235i,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010628Z
BM,3 Series,2019,2025,B48,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010631Z
BM,3 Series,2019,2025,B48A,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010633Z
BM,5 Series,2010,2016,N52,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010635Z
BM,5 Series,2010,2016,N55,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010636Z
BM,5 Series,2017,2023,B58,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010638Z
BM,7 Series,2009,2015,N52,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010640Z
BM,7 Series,2009,2015,N55,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010642Z
BM,7 Series,2009,2015,N63,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010644Z
BM,7 Series,2016,2025,B58,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010646Z
BM,7 Series,2016,2025,N63TT,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010648Z
BM,X3,2011,2017,N20,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010650Z
BM,X3,2011,2017,N26,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010651Z
BM,X3,2011,2017,N55,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010655Z
BM,X3,2018,2025,B48,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010657Z
BM,X3,2018,2025,B58,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010659Z
BM,X5,2007,2013,N55,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010661Z
BM,X5,2007,2013,N63,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010662Z
BM,X5,2014,2025,B58,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010664Z
BM,X5,2014,2025,N63TT,epc_BM,https://epc-BM.example.com,2026-05-16T05:45:04.010667Z
